date,party,approve,disapprove
7/31/2020,all,37.574635,58.289169
7/31/2020,R,77.7428,20.159718
7/31/2020,I,32.863533,61.761077
7/31/2020,D,8.7447818,89.338418
7/30/2020,D,8.7956857,89.308779
7/30/2020,all,37.566403,58.287501
7/30/2020,R,77.877213,19.900976
7/30/2020,I,32.749223,61.523659
7/29/2020,R,77.850157,19.917716
7/29/2020,all,37.601021,58.801434
7/29/2020,I,32.922881,61.320674
7/29/2020,D,8.7585266,89.351122
7/28/2020,all,37.371024,59.05935
7/28/2020,R,78.048798,19.728908
7/28/2020,I,33.218552,61.369154
7/28/2020,D,8.1306408,90.0502
7/27/2020,all,37.34241,59.068049
7/27/2020,R,77.981799,19.795396
7/27/2020,I,33.255918,61.290314
7/27/2020,D,8.1705315,90.035528
7/26/2020,all,37.837342,58.624948
7/26/2020,D,8.6013115,89.706997
7/26/2020,I,33.155529,61.207238
7/26/2020,R,78.349072,19.412061
7/25/2020,D,8.6013115,89.706997
7/25/2020,all,37.837342,58.624948
7/25/2020,I,33.155529,61.207238
7/25/2020,R,78.349072,19.412061
7/24/2020,all,37.64945,58.568647
7/24/2020,R,78.168248,19.425405
7/24/2020,I,32.524548,61.246915
7/24/2020,D,8.4896375,89.671377
7/23/2020,all,38.017899,58.393985
7/23/2020,R,77.968847,19.76965
7/23/2020,I,32.120548,61.85511
7/23/2020,D,8.3332754,90.049632
7/22/2020,D,8.6925659,89.633106
7/22/2020,all,38.394418,57.825748
7/22/2020,R,78.806935,18.80469
7/22/2020,I,32.197179,61.595546
7/21/2020,all,38.319985,57.859741
7/21/2020,R,79.137322,18.343189
7/21/2020,I,33.141061,61.006458
7/21/2020,D,8.8040591,89.45983
7/20/2020,R,79.411434,18.29856
7/20/2020,all,38.459636,57.908081
7/20/2020,I,33.020906,61.154527
7/20/2020,D,9.0491613,89.453523
7/19/2020,I,32.966903,61.394761
7/19/2020,R,79.512877,18.20169
7/19/2020,all,38.458578,57.889945
7/19/2020,D,9.0246188,89.52619
7/18/2020,all,38.458578,57.889945
7/18/2020,R,79.512877,18.20169
7/18/2020,I,32.966903,61.394761
7/18/2020,D,9.0246188,89.52619
7/17/2020,R,79.339026,18.384575
7/17/2020,all,38.089274,58.060327
7/17/2020,I,33.234397,60.953936
7/17/2020,D,8.6451497,89.891161
7/16/2020,R,79.737455,17.921644
7/16/2020,all,38.352085,57.662153
7/16/2020,I,32.398083,61.396277
7/16/2020,D,9.2766044,89.310611
7/15/2020,all,38.352085,57.662153
7/15/2020,R,79.891423,17.739647
7/15/2020,I,32.898381,61.062977
7/15/2020,D,9.3760436,89.174571
7/14/2020,all,39.33537,56.736723
7/14/2020,R,80.786528,16.885004
7/14/2020,I,34.1898,59.99144
7/14/2020,D,9.9714027,88.447577
7/13/2020,R,80.789774,16.948047
7/13/2020,all,39.323584,56.659761
7/13/2020,I,34.652292,59.415715
7/13/2020,D,10.017514,88.373355
7/12/2020,D,10.019695,88.451031
7/12/2020,R,80.901185,16.761662
7/12/2020,I,34.495107,59.546808
7/12/2020,all,39.308986,56.665657
7/11/2020,all,39.308986,56.665657
7/11/2020,D,10.019695,88.451031
7/11/2020,I,34.495107,59.546808
7/11/2020,R,80.901185,16.761662
7/10/2020,all,39.308986,56.665657
7/10/2020,R,80.901185,16.761662
7/10/2020,I,34.495107,59.546808
7/10/2020,D,10.019695,88.451031
7/9/2020,all,39.480172,56.348829
7/9/2020,I,35.078377,58.765651
7/9/2020,D,10.127155,88.181467
7/9/2020,R,81.116988,16.418179
7/8/2020,all,39.480172,56.348829
7/8/2020,R,81.116988,16.418179
7/8/2020,I,35.078377,58.765651
7/8/2020,D,10.127155,88.181467
7/7/2020,all,39.54939,56.281607
7/7/2020,R,81.398332,16.188286
7/7/2020,I,35.438073,58.583647
7/7/2020,D,10.012664,88.243548
7/6/2020,R,81.361182,16.191762
7/6/2020,I,35.319346,58.774628
7/6/2020,all,39.532807,56.300803
7/6/2020,D,10.136988,88.091484
7/5/2020,D,10.136988,88.091484
7/5/2020,all,39.532807,56.300803
7/5/2020,I,35.319346,58.774628
7/5/2020,R,81.361182,16.191762
7/4/2020,D,10.37868,87.807223
7/4/2020,all,39.533817,56.287416
7/4/2020,I,35.729711,58.231368
7/4/2020,R,81.194657,16.266756
7/3/2020,all,39.533817,56.287416
7/3/2020,D,10.37868,87.807223
7/3/2020,I,35.729711,58.231368
7/3/2020,R,81.194657,16.266756
7/2/2020,all,39.533817,56.287416
7/2/2020,R,81.194657,16.266756
7/2/2020,I,35.729711,58.231368
7/2/2020,D,10.37868,87.807223
7/1/2020,all,39.533817,56.287416
7/1/2020,R,81.194657,16.266756
7/1/2020,I,35.729711,58.231368
7/1/2020,D,10.37868,87.807223
6/30/2020,all,40.808266,55.84097
6/30/2020,R,82.537286,15.221009
6/30/2020,I,36.439242,58.431961
6/30/2020,D,10.640999,87.627581
6/29/2020,R,82.715537,15.135425
6/29/2020,all,40.777488,55.868535
6/29/2020,I,36.079997,58.883005
6/29/2020,D,10.768972,87.362001
6/28/2020,R,82.727446,15.073812
6/28/2020,I,36.183669,58.628144
6/28/2020,D,10.871755,87.231532
6/28/2020,all,40.854762,55.761541
6/27/2020,R,82.727446,15.073812
6/27/2020,D,10.871755,87.231532
6/27/2020,all,40.854762,55.761541
6/27/2020,I,36.183669,58.628144
6/26/2020,all,40.8142,55.568218
6/26/2020,R,82.709994,14.914276
6/26/2020,I,35.872985,58.348656
6/26/2020,D,10.917908,86.998493
6/25/2020,all,40.852547,55.496648
6/25/2020,R,82.617486,14.991571
6/25/2020,I,35.862193,58.039736
6/25/2020,D,10.344439,87.619847
6/24/2020,R,82.625695,15.006046
6/24/2020,all,40.852547,55.496648
6/24/2020,I,36.056723,57.789416
6/24/2020,D,10.307866,87.61691
6/23/2020,R,82.728493,14.938377
6/23/2020,all,41.362587,55.180261
6/23/2020,I,37.34431,56.541004
6/23/2020,D,10.614201,87.540518
6/22/2020,all,41.417461,55.153723
6/22/2020,R,82.869315,14.811589
6/22/2020,I,37.70513,56.680646
6/22/2020,D,10.677812,87.484783
6/21/2020,R,83.31943,14.376004
6/21/2020,all,41.755327,54.776417
6/21/2020,I,37.407182,56.856535
6/21/2020,D,10.897349,87.242625
6/20/2020,D,10.897349,87.242625
6/20/2020,I,37.407182,56.856535
6/20/2020,R,83.31943,14.376004
6/20/2020,all,41.755327,54.776417
6/19/2020,R,83.31943,14.376004
6/19/2020,all,41.75394,54.734831
6/19/2020,I,37.407182,56.856535
6/19/2020,D,10.897349,87.242625
6/18/2020,R,83.23007,14.407037
6/18/2020,all,41.620447,54.675136
6/18/2020,I,37.673628,56.547824
6/18/2020,D,10.98744,87.053059
6/17/2020,all,41.806656,54.229197
6/17/2020,R,82.861182,14.838684
6/17/2020,I,37.084461,57.220376
6/17/2020,D,11.471653,86.58394
6/16/2020,R,82.955116,14.872015
6/16/2020,all,41.964333,54.14946
6/16/2020,I,36.978844,57.653111
6/16/2020,D,11.695767,86.39805
6/15/2020,all,42.013452,54.119042
6/15/2020,R,83.058151,14.903302
6/15/2020,I,37.169531,57.831294
6/15/2020,D,11.60855,86.487387
6/14/2020,I,37.148137,57.938201
6/14/2020,D,11.439433,86.75611
6/14/2020,R,83.243122,14.748514
6/14/2020,all,42.067227,54.090098
6/13/2020,D,11.439433,86.75611
6/13/2020,all,42.067227,54.090098
6/13/2020,I,37.148137,57.938201
6/13/2020,R,83.243122,14.748514
6/12/2020,all,42.067227,54.090098
6/12/2020,R,83.243122,14.748514
6/12/2020,I,37.148137,57.938201
6/12/2020,D,11.439433,86.75611
6/11/2020,all,41.968256,54.187301
6/11/2020,R,83.328433,14.583945
6/11/2020,I,36.921523,58.125815
6/11/2020,D,10.935194,87.321445
6/10/2020,all,42.180721,54.121064
6/10/2020,R,83.699686,14.211359
6/10/2020,I,37.109034,57.944523
6/10/2020,D,10.684583,87.605459
6/9/2020,all,42.489298,53.647416
6/9/2020,R,83.719991,13.918457
6/9/2020,I,37.21568,57.614276
6/9/2020,D,11.325142,86.793822
6/8/2020,R,83.719991,13.918457
6/8/2020,all,42.499124,53.651902
6/8/2020,I,37.21568,57.614276
6/8/2020,D,11.325142,86.793822
