date,party,approve,disapprove
7/31/2020,all,37.574635,58.289169
7/30/2020,all,37.566403,58.287501
7/29/2020,all,37.601021,58.801434
7/28/2020,all,37.371024,59.05935
7/27/2020,all,37.34241,59.068049
7/26/2020,all,37.837342,58.624948
7/25/2020,all,37.837342,58.624948
7/24/2020,all,37.64945,58.568647
7/23/2020,all,38.017899,58.393985
7/22/2020,all,38.394418,57.825748
7/21/2020,all,38.319985,57.859741
7/20/2020,all,38.459636,57.908081
7/19/2020,all,38.458578,57.889945
7/18/2020,all,38.458578,57.889945
7/17/2020,all,38.089274,58.060327
7/16/2020,all,38.352085,57.662153
7/15/2020,all,38.352085,57.662153
7/14/2020,all,39.33537,56.736723
7/13/2020,all,39.323584,56.659761
7/12/2020,all,39.308986,56.665657
7/11/2020,all,39.308986,56.665657
7/10/2020,all,39.308986,56.665657
7/9/2020,all,39.480172,56.348829
7/8/2020,all,39.480172,56.348829
7/7/2020,all,39.54939,56.281607
7/6/2020,all,39.532807,56.300803
7/5/2020,all,39.532807,56.300803
7/4/2020,all,39.533817,56.287416
7/3/2020,all,39.533817,56.287416
7/2/2020,all,39.533817,56.287416
7/1/2020,all,39.533817,56.287416
6/30/2020,all,40.808266,55.84097
6/29/2020,all,40.777488,55.868535
6/28/2020,all,40.854762,55.761541
6/27/2020,all,40.854762,55.761541
6/26/2020,all,40.8142,55.568218
6/25/2020,all,40.852547,55.496648
6/24/2020,all,40.852547,55.496648
6/23/2020,all,41.362587,55.180261
6/22/2020,all,41.417461,55.153723
6/21/2020,all,41.755327,54.776417
6/20/2020,all,41.755327,54.776417
6/19/2020,all,41.75394,54.734831
6/18/2020,all,41.620447,54.675136
6/17/2020,all,41.806656,54.229197
6/16/2020,all,41.964333,54.14946
6/15/2020,all,42.013452,54.119042
6/14/2020,all,42.067227,54.090098
6/13/2020,all,42.067227,54.090098
6/12/2020,all,42.067227,54.090098
6/11/2020,all,41.968256,54.187301
6/10/2020,all,42.180721,54.121064
6/9/2020,all,42.489298,53.647416
6/8/2020,all,42.499124,53.651902
6/7/2020,all,42.73964,53.42655
6/6/2020,all,42.73964,53.42655
6/5/2020,all,42.727684,53.323802
6/4/2020,all,42.771516,53.238346
6/3/2020,all,43.3936,53.36457
6/2/2020,all,43.516515,53.436884
6/1/2020,all,42.995781,53.477337
5/31/2020,all,42.985539,53.441998
5/30/2020,all,42.650358,53.540151
5/29/2020,all,42.650358,53.540151
5/28/2020,all,42.651242,53.60148
5/27/2020,all,42.663299,53.576387
5/26/2020,all,42.554033,53.781843
5/25/2020,all,42.665227,53.658117
5/24/2020,all,42.665227,53.658117
5/23/2020,all,42.665227,53.658117
5/22/2020,all,42.665227,53.658117
5/21/2020,all,42.681237,53.465635
5/20/2020,all,43.12271,52.89972
5/19/2020,all,43.340375,52.730664
5/18/2020,all,43.428358,52.405606
5/17/2020,all,43.274183,52.476902
5/16/2020,all,43.274183,52.476902
5/15/2020,all,43.267335,52.462197
5/14/2020,all,43.297135,52.460737
5/13/2020,all,43.294819,52.285751
5/12/2020,all,43.166117,52.14613
5/11/2020,all,43.538951,51.176962
5/10/2020,all,43.547814,51.139951
5/9/2020,all,43.547814,51.139951
5/8/2020,all,43.515639,51.162726
5/7/2020,all,43.527391,51.08373
5/6/2020,all,43.655603,50.894868
5/5/2020,all,43.748737,50.870262
5/4/2020,all,44.332652,50.108971
5/3/2020,all,44.339897,50.083323
5/2/2020,all,44.409654,49.963317
5/1/2020,all,44.394752,49.970502
4/30/2020,all,44.38236,49.838213
4/29/2020,all,44.840951,51.23337
4/28/2020,all,45.027199,50.773073
4/27/2020,all,45.787883,50.18898
4/26/2020,all,45.872841,50.066345
4/25/2020,all,45.738811,50.118182
4/24/2020,all,45.734035,50.126516
4/23/2020,all,45.912931,50.384815
4/22/2020,all,46.053745,50.131403
4/21/2020,all,46.435612,49.610024
4/20/2020,all,47.275416,49.114244
4/19/2020,all,47.25824,49.082732
4/18/2020,all,47.539418,48.825956
4/17/2020,all,47.388255,48.990832
4/16/2020,all,47.458624,48.857986
