date,party,approve,disapprove
7/31/2020,D,8.7447818,89.338418
7/30/2020,D,8.7956857,89.308779
7/29/2020,D,8.7585266,89.351122
7/28/2020,D,8.1306408,90.0502
7/27/2020,D,8.1705315,90.035528
7/26/2020,D,8.6013115,89.706997
7/25/2020,D,8.6013115,89.706997
7/24/2020,D,8.4896375,89.671377
7/23/2020,D,8.3332754,90.049632
7/22/2020,D,8.6925659,89.633106
7/21/2020,D,8.8040591,89.45983
7/20/2020,D,9.0491613,89.453523
7/19/2020,D,9.0246188,89.52619
7/18/2020,D,9.0246188,89.52619
7/17/2020,D,8.6451497,89.891161
7/16/2020,D,9.2766044,89.310611
7/15/2020,D,9.3760436,89.174571
7/14/2020,D,9.9714027,88.447577
7/13/2020,D,10.017514,88.373355
7/12/2020,D,10.019695,88.451031
7/11/2020,D,10.019695,88.451031
7/10/2020,D,10.019695,88.451031
7/9/2020,D,10.127155,88.181467
7/8/2020,D,10.127155,88.181467
7/7/2020,D,10.012664,88.243548
7/6/2020,D,10.136988,88.091484
7/5/2020,D,10.136988,88.091484
7/4/2020,D,10.37868,87.807223
7/3/2020,D,10.37868,87.807223
7/2/2020,D,10.37868,87.807223
7/1/2020,D,10.37868,87.807223
6/30/2020,D,10.640999,87.627581
6/29/2020,D,10.768972,87.362001
6/28/2020,D,10.871755,87.231532
6/27/2020,D,10.871755,87.231532
6/26/2020,D,10.917908,86.998493
6/25/2020,D,10.344439,87.619847
6/24/2020,D,10.307866,87.61691
6/23/2020,D,10.614201,87.540518
6/22/2020,D,10.677812,87.484783
6/21/2020,D,10.897349,87.242625
6/20/2020,D,10.897349,87.242625
6/19/2020,D,10.897349,87.242625
6/18/2020,D,10.98744,87.053059
6/17/2020,D,11.471653,86.58394
6/16/2020,D,11.695767,86.39805
6/15/2020,D,11.60855,86.487387
6/14/2020,D,11.439433,86.75611
6/13/2020,D,11.439433,86.75611
6/12/2020,D,11.439433,86.75611
6/11/2020,D,10.935194,87.321445
6/10/2020,D,10.684583,87.605459
6/9/2020,D,11.325142,86.793822
6/8/2020,D,11.325142,86.793822
6/7/2020,D,11.547949,86.469284
6/6/2020,D,11.547949,86.469284
6/5/2020,D,11.547949,86.469284
6/4/2020,D,11.922104,86.058503
6/3/2020,D,12.362414,85.587667
6/2/2020,D,12.298855,85.728319
6/1/2020,D,12.389411,85.285513
5/31/2020,D,12.284578,85.289202
5/30/2020,D,12.23432,85.162886
5/29/2020,D,12.250141,85.262971
5/28/2020,D,12.250141,85.262971
5/27/2020,D,12.225327,85.261575
5/26/2020,D,12.251818,85.180495
5/25/2020,D,12.343899,84.915672
5/24/2020,D,12.343899,84.915672
5/23/2020,D,12.343899,84.915672
5/22/2020,D,12.343899,84.915672
5/21/2020,D,12.369357,84.675068
5/20/2020,D,13.098953,84.198603
5/19/2020,D,13.29875,84.032064
5/18/2020,D,13.660767,83.499394
5/17/2020,D,12.895955,84.251982
5/16/2020,D,12.895955,84.251982
5/15/2020,D,12.931233,84.185455
5/14/2020,D,12.824515,84.432477
5/13/2020,D,12.876474,84.240508
5/12/2020,D,12.626437,84.346493
5/11/2020,D,13.22548,83.88995
5/10/2020,D,13.25534,83.82493
5/9/2020,D,13.25534,83.82493
5/8/2020,D,13.217022,83.836094
5/7/2020,D,13.41955,83.563279
5/6/2020,D,13.494711,83.451647
5/5/2020,D,13.767491,83.191241
5/4/2020,D,14.218242,82.6836
5/3/2020,D,14.099539,82.759887
5/2/2020,D,14.704841,82.005949
5/1/2020,D,14.885181,81.810927
4/30/2020,D,15.053674,81.53073
4/29/2020,D,15.165153,82.250193
4/28/2020,D,15.355768,82.011378
4/27/2020,D,15.87994,81.471039
4/26/2020,D,15.754661,81.509713
4/25/2020,D,15.459087,81.789385
4/24/2020,D,15.481662,81.795911
4/23/2020,D,15.471856,81.767101
4/22/2020,D,15.903472,81.424771
4/21/2020,D,16.533445,80.84239
4/20/2020,D,16.867472,81.069713
4/19/2020,D,16.861909,81.017887
4/18/2020,D,16.861909,81.017887
4/17/2020,D,16.719366,81.120212
4/16/2020,D,17.120665,80.683463
4/15/2020,D,17.136436,80.639771
4/14/2020,D,17.692713,80.075176
4/13/2020,D,17.849981,79.898285
4/12/2020,D,17.781984,80.137044
4/11/2020,D,17.781984,80.137044
4/10/2020,D,17.784587,80.108491
4/9/2020,D,18.101392,79.582666
4/8/2020,D,18.477505,79.25025
4/7/2020,D,19.910376,77.662169
4/6/2020,D,19.689248,77.84439
4/5/2020,D,19.804791,77.612691
4/4/2020,D,19.804791,77.612691
4/3/2020,D,19.767847,77.648466
4/2/2020,D,19.98862,77.33357
4/1/2020,D,19.98862,77.33357
3/31/2020,D,20.20102,76.7868
3/30/2020,D,20.06142,76.91564
3/29/2020,D,20.39381,76.68404
3/28/2020,D,20.98738,75.67297
3/27/2020,D,20.98738,75.67297
3/26/2020,D,20.96828,75.72034
3/25/2020,D,21.10941,75.31313
3/24/2020,D,21.41203,74.8215
3/23/2020,D,21.55347,73.82361
3/22/2020,D,21.01003,73.82213
3/21/2020,D,18.9409,75.0639
3/20/2020,D,18.9409,75.0639
3/19/2020,D,18.61742,75.46741
3/18/2020,D,16.56148,78.17043
3/17/2020,D,15.93327,78.6246
3/16/2020,D,14.79079,79.3261
3/15/2020,D,15.12768,78.77473
3/14/2020,D,13.7871,79.58198
3/13/2020,D,13.77926,78.91908
3/12/2020,D,13.95845,78.0076
3/11/2020,D,14.5282,78.27158
3/10/2020,D,13.98956,78.5371
3/9/2020,D,14.0151,78.38747
3/8/2020,D,13.80473,78.24803
3/7/2020,D,15.57754,74.7625
3/6/2020,D,17.32803,71.57773
3/5/2020,D,17.32803,71.57773
3/4/2020,D,18.44423,69.97042
3/3/2020,D,18.44423,69.97042
3/2/2020,D,20.95956,64.32472
3/1/2020,D,20.95956,64.32472
2/29/2020,D,21.65126,62.79855
2/28/2020,D,21.65126,62.79855
2/27/2020,D,21.46453,51.86199
2/26/2020,D,21.46453,51.86199
2/25/2020,D,20.31643,50.71891
2/24/2020,D,23.08517,48.37065
2/23/2020,D,23.08517,48.37065
2/22/2020,D,23.08517,48.37065
2/21/2020,D,23.08517,48.37065
2/20/2020,D,23.08517,48.37065
2/19/2020,D,23.08517,48.37065
2/18/2020,D,23.08517,48.37065
2/17/2020,D,27.09484,44.86655
2/16/2020,D,27.09484,44.86655
2/15/2020,D,27.09484,44.86655
