date,party,approve,disapprove
7/31/2020,R,77.7428,20.159718
7/30/2020,R,77.877213,19.900976
7/29/2020,R,77.850157,19.917716
7/28/2020,R,78.048798,19.728908
7/27/2020,R,77.981799,19.795396
7/26/2020,R,78.349072,19.412061
7/25/2020,R,78.349072,19.412061
7/24/2020,R,78.168248,19.425405
7/23/2020,R,77.968847,19.76965
7/22/2020,R,78.806935,18.80469
7/21/2020,R,79.137322,18.343189
7/20/2020,R,79.411434,18.29856
7/19/2020,R,79.512877,18.20169
7/18/2020,R,79.512877,18.20169
7/17/2020,R,79.339026,18.384575
7/16/2020,R,79.737455,17.921644
7/15/2020,R,79.891423,17.739647
7/14/2020,R,80.786528,16.885004
7/13/2020,R,80.789774,16.948047
7/12/2020,R,80.901185,16.761662
7/11/2020,R,80.901185,16.761662
7/10/2020,R,80.901185,16.761662
7/9/2020,R,81.116988,16.418179
7/8/2020,R,81.116988,16.418179
7/7/2020,R,81.398332,16.188286
7/6/2020,R,81.361182,16.191762
7/5/2020,R,81.361182,16.191762
7/4/2020,R,81.194657,16.266756
7/3/2020,R,81.194657,16.266756
7/2/2020,R,81.194657,16.266756
7/1/2020,R,81.194657,16.266756
6/30/2020,R,82.537286,15.221009
6/29/2020,R,82.715537,15.135425
6/28/2020,R,82.727446,15.073812
6/27/2020,R,82.727446,15.073812
6/26/2020,R,82.709994,14.914276
6/25/2020,R,82.617486,14.991571
6/24/2020,R,82.625695,15.006046
6/23/2020,R,82.728493,14.938377
6/22/2020,R,82.869315,14.811589
6/21/2020,R,83.31943,14.376004
6/20/2020,R,83.31943,14.376004
6/19/2020,R,83.31943,14.376004
6/18/2020,R,83.23007,14.407037
6/17/2020,R,82.861182,14.838684
6/16/2020,R,82.955116,14.872015
6/15/2020,R,83.058151,14.903302
6/14/2020,R,83.243122,14.748514
6/13/2020,R,83.243122,14.748514
6/12/2020,R,83.243122,14.748514
6/11/2020,R,83.328433,14.583945
6/10/2020,R,83.699686,14.211359
6/9/2020,R,83.719991,13.918457
6/8/2020,R,83.719991,13.918457
6/7/2020,R,83.889584,13.736745
6/6/2020,R,83.889584,13.736745
6/5/2020,R,83.889584,13.736745
6/4/2020,R,83.870631,13.730071
6/3/2020,R,83.580929,14.24761
6/2/2020,R,83.701639,14.253658
6/1/2020,R,83.028698,14.650108
5/31/2020,R,83.027069,14.580204
5/30/2020,R,82.385259,15.163867
5/29/2020,R,82.317543,15.227922
5/28/2020,R,82.317543,15.227922
5/27/2020,R,82.350324,15.166466
5/26/2020,R,82.211367,15.23573
5/25/2020,R,82.283241,15.115515
5/24/2020,R,82.283241,15.115515
5/23/2020,R,82.283241,15.115515
5/22/2020,R,82.283241,15.115515
5/21/2020,R,82.046983,15.211271
5/20/2020,R,82.372027,15.245505
5/19/2020,R,82.426901,15.104326
5/18/2020,R,82.379433,14.996934
5/17/2020,R,82.649938,14.536386
5/16/2020,R,82.649938,14.536386
5/15/2020,R,82.644783,14.526708
5/14/2020,R,82.835578,14.342848
5/13/2020,R,82.736982,14.22691
5/12/2020,R,82.796027,13.977834
5/11/2020,R,83.51908,13.757296
5/10/2020,R,83.553394,13.692882
5/9/2020,R,83.553394,13.692882
5/8/2020,R,83.461999,13.77345
5/7/2020,R,83.317097,13.811324
5/6/2020,R,83.382022,13.68619
5/5/2020,R,83.822019,13.635373
5/4/2020,R,84.37774,13.050827
5/3/2020,R,84.402988,12.990336
5/2/2020,R,84.335473,12.942272
5/1/2020,R,84.436809,12.832509
4/30/2020,R,84.445038,12.766416
4/29/2020,R,84.25493,13.385338
4/28/2020,R,84.104827,13.456611
4/27/2020,R,84.416976,13.512887
4/26/2020,R,84.485155,13.194751
4/25/2020,R,84.48017,13.014901
4/24/2020,R,84.483638,13.018056
4/23/2020,R,84.548679,12.95986
4/22/2020,R,85.163988,12.645017
4/21/2020,R,85.390417,12.412588
4/20/2020,R,86.245069,11.854432
4/19/2020,R,86.439355,11.732316
4/18/2020,R,86.439355,11.732316
4/17/2020,R,86.177389,12.003525
4/16/2020,R,86.184336,11.928543
4/15/2020,R,86.178043,11.930337
4/14/2020,R,86.187761,12.011755
4/13/2020,R,86.07377,12.082773
4/12/2020,R,86.43966,11.997893
4/11/2020,R,86.43966,11.997893
4/10/2020,R,86.471747,11.976082
4/9/2020,R,86.454203,11.910723
4/8/2020,R,86.474075,11.832238
4/7/2020,R,85.401401,12.039739
4/6/2020,R,86.405271,11.9526
4/5/2020,R,86.194063,12.04489
4/4/2020,R,86.194063,12.04489
4/3/2020,R,86.266949,11.985825
4/2/2020,R,86.01232,12.12269
4/1/2020,R,86.01232,12.12269
3/31/2020,R,85.75674,12.21222
3/30/2020,R,85.65446,12.23169
3/29/2020,R,85.40148,12.65846
3/28/2020,R,85.36964,12.42568
3/27/2020,R,85.36964,12.42568
3/26/2020,R,85.54511,12.22322
3/25/2020,R,85.54736,11.968
3/24/2020,R,85.24707,12.12342
3/23/2020,R,85.83202,10.72082
3/22/2020,R,85.12157,11.05162
3/21/2020,R,84.4166,11.06131
3/20/2020,R,84.4166,11.06131
3/19/2020,R,84.25689,11.14524
3/18/2020,R,83.02334,12.42957
3/17/2020,R,82.80448,12.4597
3/16/2020,R,82.85318,11.96639
3/15/2020,R,83.10537,11.78995
3/14/2020,R,82.54643,11.89394
3/13/2020,R,82.20649,11.8823
3/12/2020,R,82.34178,11.52723
3/11/2020,R,81.95955,11.1528
3/10/2020,R,81.68439,11.11598
3/9/2020,R,81.57394,11.32758
3/8/2020,R,81.66932,10.86292
3/7/2020,R,80.15667,11.1448
3/6/2020,R,80.57852,11.09188
3/5/2020,R,80.57852,11.09188
3/4/2020,R,81.18703,10.96929
3/3/2020,R,81.18703,10.96929
3/2/2020,R,82.4118,10.4637
3/1/2020,R,82.4118,10.4637
2/29/2020,R,82.36564,10.65129
2/28/2020,R,82.36564,10.65129
2/27/2020,R,80.51995,6.930058
2/26/2020,R,80.51995,6.930058
2/25/2020,R,79.80868,6.367058
2/24/2020,R,80.49252,6.084507
2/23/2020,R,80.49252,6.084507
2/22/2020,R,80.49252,6.084507
2/21/2020,R,80.49252,6.084507
2/20/2020,R,80.49252,6.084507
2/19/2020,R,80.49252,6.084507
2/18/2020,R,80.49252,6.084507
2/17/2020,R,80.40076,5.410971
2/16/2020,R,80.40076,5.410971
2/15/2020,R,80.40076,5.410971
