date,very,somewhat,not_very,not_at_all
2/15/2020,11.7618,26.27597,39.08025,19.99529
2/16/2020,16.4273,24.80625,37.79734,19.74481
2/17/2020,16.4273,24.80625,37.79734,19.74481
2/18/2020,18.43492,23.51789,36.31841,20.99664
2/19/2020,18.43492,23.51789,36.31841,20.99664
2/20/2020,18.43492,23.51789,36.31841,20.99664
2/21/2020,18.43492,23.51789,36.31841,20.99664
2/22/2020,18.43492,23.51789,36.31841,20.99664
2/23/2020,18.43492,23.51789,36.31841,20.99664
2/24/2020,18.43492,23.51789,36.31841,20.99664
2/25/2020,17.55785,24.40722,36.65177,20.91708
2/26/2020,17.55785,24.40722,36.65177,20.91708
2/27/2020,17.55785,24.40722,36.65177,20.91708
2/28/2020,17.90033,24.96559,35.13448,20.38884
2/29/2020,17.90033,24.96559,35.13448,20.38884
3/1/2020,17.90033,24.96559,35.13448,20.38884
3/2/2020,17.90033,24.96559,35.13448,20.38884
3/3/2020,19.82386,28.96277,32.97747,17.23682
3/4/2020,19.82386,28.96277,32.97747,17.23682
3/5/2020,19.82386,28.96277,32.97747,17.23682
3/6/2020,19.82386,28.96277,32.97747,17.23682
3/7/2020,19.82386,28.96277,32.97747,17.23682
3/8/2020,20.62768,31.46883,29.76527,17.3044
3/9/2020,22.4908,31.72139,28.51094,16.74567
3/10/2020,22.10178,31.99989,28.88765,16.59942
3/11/2020,22.4244,31.26108,30.29826,15.62325
3/12/2020,22.32016,33.02826,28.9935,14.40557
3/13/2020,22.14673,33.64861,28.11237,14.37209
3/14/2020,22.14673,33.64861,28.11237,14.37209
3/15/2020,23.27218,34.20933,26.65161,14.2085
3/16/2020,23.74623,34.44712,26.40847,13.77206
3/17/2020,23.46276,34.76722,26.64241,13.64039
3/18/2020,23.46276,34.76722,26.64241,13.64039
3/19/2020,24.29691,37.2181,25.39157,11.64195
3/20/2020,24.29691,37.2181,25.39157,11.64195
3/21/2020,24.29691,37.2181,25.39157,11.64195
3/22/2020,27.28671,36.35975,23.72996,11.32055
3/23/2020,27.9404,36.6573,23.26873,11.04683
3/24/2020,29.26733,36.11691,22.96114,10.7774
3/25/2020,30.44253,37.22616,21.52938,10.01975
3/26/2020,30.51298,37.2417,21.47831,10.00302
3/27/2020,30.5966,37.28209,21.37903,9.982054
3/28/2020,30.97512,37.652,21.01104,9.644611
3/29/2020,32.5274,37.45335,20.25546,9.067663
3/30/2020,31.48081,36.19573,20.08361,10.84496
3/31/2020,31.53831,36.23717,20.06977,10.73117
4/1/2020,31.81763,36.3726,19.80058,10.62861
4/2/2020,31.81763,36.3726,19.80058,10.62861
4/3/2020,32.9665,36.413921,19.133612,10.14452
4/4/2020,32.982783,36.513441,19.071331,10.106182
4/5/2020,32.982783,36.513441,19.071331,10.106182
4/6/2020,32.982783,36.513441,19.071331,10.106182
4/7/2020,33.412965,36.373118,18.902791,9.9494827
4/8/2020,36.96633,36.130652,17.203993,8.671082
4/9/2020,37.500457,36.38094,17.087186,8.1516584
